param revenue :=
  [*,1] P1 5.04851136532215, P2 8.82968369035379, P3 8.56789919787368, P4 7.08687122238756, 
  [*,27] P1 9.04212997550221, P2 10.3702073771201, P3 7.54377962938604, P4 6.38638467872757, 
  [*,28] P1 8.67822394851466, P2 6.80477249793751, P3 5.70058369754717, P4 5.55882054748918, 
  [*,29] P1 9.96511256262885, P2 6.23183474874656, P3 9.06670462595791, P4 6.14197376212442, 
  [*,30] P1 8.05235755193715, P2 9.95845947587682, P3 5.73053663889149, P4 5.25990537203945, 
  [*,31] P1 7.32038197007359, P2 7.83454745238788, P3 7.55091580627025, P4 6.78427754733493, 
  [*,32] P1 5.39852715776968, P2 6.44036046450543, P3 9.22347321243861, P4 6.60930894738384, 
  [*,33] P1 9.47355989968596, P2 5.98503588081166, P3 10.3388655671234, P4 6.59716775110394, 
  [*,34] P1 9.72027221098805, P2 6.54605451729341, P3 6.88216247026394, P4 5.54906246765732, 
  [*,35] P1 11.7281901391055, P2 9.46006099563907, P3 6.60618899746111, P4 5.56756602058846, 
  [*,36] P1 9.35762537207357, P2 6.22922637630905, P3 7.50875912415535, P4 6.24269813225761, 
  [*,37] P1 5.66910680470746, P2 10.1972053724365, P3 8.53491105738996, P4 6.30604363384983, 
  [*,38] P1 11.71366521367, P2 9.85252394496135, P3 6.97707866941974, P4 5.93082817345846, 
  [*,39] P1 11.862206522415, P2 7.61983037186857, P3 7.07427974882388, P4 5.66909936801568, 
  [*,40] P1 10.3751939949063, P2 8.00091146829878, P3 5.43266325117434, P4 6.03189468994544, 
  [*,41] P1 9.21691679050487, P2 7.63983025992658, P3 6.87222957195535, P4 5.9182419804919, 
  [*,42] P1 10.1211415728586, P2 9.27607958947621, P3 7.01044557343169, P4 5.67357664786262, 
  [*,43] P1 9.1421898547861, P2 7.20131323975867, P3 8.30028430182187, P4 5.52680132617888, 
  [*,44] P1 6.69900510839726, P2 6.74694621386442, P3 6.33580663641182, P4 6.192995560712, 
  [*,45] P1 6.17222592908426, P2 9.58393166762924, P3 8.51679936941202, P4 5.66192935685683, 
  [*,46] P1 9.40094733150215, P2 6.75292982036934, P3 7.7781257015313, P4 5.94917141208008, 
  [*,47] P1 9.59880692193227, P2 5.71787903485033, P3 7.86696813972676, P4 5.94069846470039, 
  [*,48] P1 11.624706092028, P2 7.67909833724558, P3 7.82477319051049, P4 5.5464061690507, 
  [*,49] P1 5.35458358136455, P2 9.36747745718793, P3 5.06064962088827, P4 6.64559370699398, 
  [*,50] P1 6.45124476635252, P2 6.81610145340771, P3 9.43982363876359, P4 7.10999122861579, 
  [*,51] P1 11.7460207783788, P2 6.24907404031181, P3 6.72255101340605, P4 5.46110297975159, 
  [*,52] P1 10.6422356394624, P2 7.24334453276469, P3 7.34645487719995, P4 5.86602156604274, 
  [*,53] P1 5.49087696355239, P2 8.23518306620481, P3 7.86899583884974, P4 6.28995184015353, 
  [*,54] P1 5.13672471560479, P2 10.9216485241102, P3 6.10630025236745, P4 7.14044127819072, 
  [*,55] P1 10.055996657605, P2 8.75480196827171, P3 7.23031041131375, P4 6.31861387808134, 
  [*,56] P1 9.59814068382387, P2 5.76207376578559, P3 8.52883389246721, P4 5.70520063296595, 
  [*,57] P1 10.4034144226137, P2 6.61507054491334, P3 7.62876594963669, P4 5.12546965565724, 
  [*,58] P1 6.52710267195197, P2 7.62891561394778, P3 9.027870168205, P4 6.25085254422496, 
  [*,59] P1 9.82802558350779, P2 6.00055776916695, P3 6.23459787215277, P4 6.20796174004182, 
  [*,60] P1 5.22689288018916, P2 6.20823797597517, P3 8.83921260696179, P4 6.51401797416524, 
  [*,61] P1 11.622330575271, P2 7.1543333823015, P3 6.43843624664405, P4 5.51274587654742, 
  [*,62] P1 7.70471385292021, P2 10.4990529287723, P3 5.96138321047232, P4 5.60891574471629, 
  [*,63] P1 5.05688152241915, P2 7.55946019365666, P3 8.58290386556052, P4 7.28250150364307, 
  [*,64] P1 8.65727296243428, P2 9.68144822009715, P3 7.53925195097113, P4 6.2244966629404, 
  [*,65] P1 5.48857945224452, P2 10.8466738871178, P3 6.84114848836824, P4 7.07842014544409, 
  [*,66] P1 10.7514016557971, P2 5.20686524283804, P3 9.13425793991189, P4 7.08970301037171, 
  [*,67] P1 9.91207752801852, P2 9.07823906865702, P3 6.87448850610147, P4 5.39217876585143, 
  [*,68] P1 11.3413589479209, P2 7.7930028229323, P3 6.90147025968069, P4 5.52303576529409, 
  [*,69] P1 11.5931578996587, P2 7.71688032075133, P3 8.00586386736894, P4 6.14824129041971, 
  [*,70] P1 5.88044541436041, P2 6.47940391206154, P3 7.01097379774415, P4 7.50640313642022, 
  [*,71] P1 6.55107331588369, P2 10.2350672824194, P3 6.48821778619965, P4 6.47932692560975, 
  [*,72] P1 5.51029955711041, P2 10.523242648109, P3 5.31010201902764, P4 6.0051283826189, 
  [*,73] P1 8.8025763740367, P2 10.5778238934947, P3 6.09690745224635, P4 6.49401777445098, 
  [*,74] P1 9.129924794451, P2 5.60254646209179, P3 9.39243070045729, P4 5.1175267437157, 
  [*,75] P1 5.93261940153809, P2 6.66849296709757, P3 7.66743894634207, P4 7.0852645560942, 
  [*,76] P1 6.09650504674811, P2 11.1477128319863, P3 9.25062347149775, P4 6.36136789663644, 
  [*,77] P1 7.00397409454704, P2 7.79137360735567, P3 8.70990119847846, P4 5.94680937673715, 
  [*,78] P1 10.6394594333347, P2 8.85035470126012, P3 9.05606344530758, P4 5.7210527105769, 
  [*,79] P1 7.79164397363105, P2 11.2904019143923, P3 5.32780904222135, P4 5.87493613204489, 
  [*,80] P1 7.84604272390595, P2 9.61235111131791, P3 5.60294253102468, P4 5.52193412306891, 
  [*,81] P1 7.25231252046063, P2 9.64707194539611, P3 8.11987564998184, P4 5.93675958410603, 
  [*,82] P1 5.32011074117453, P2 8.42578873519704, P3 5.67764582150905, P4 6.79774395341264, 
  [*,83] P1 8.26787159869875, P2 5.92522676898675, P3 8.45034573456797, P4 6.88278276153645, 
  [*,84] P1 6.40006771233531, P2 7.8109257669935, P3 7.18595740647439, P4 6.328898144738, 
  [*,85] P1 7.24262547054189, P2 7.44957678323574, P3 8.30082480882145, P4 6.32238800856807, 
  [*,86] P1 7.13334786863506, P2 7.97984103358282, P3 9.18314957712262, P4 6.07093588348411, 
  [*,87] P1 9.06104072385787, P2 8.40375948792481, P3 7.01743093033142, P4 5.90369672258162, 
  [*,88] P1 5.62774518412886, P2 6.73353948039715, P3 9.59977028757758, P4 7.16883241911097, 
  [*,89] P1 9.2045495982013, P2 6.24229449824175, P3 7.58109250073937, P4 5.84772915537404, 
  [*,90] P1 7.44885384889361, P2 10.4939261257363, P3 5.99629142008966, P4 5.61392234368386, 
  [*,91] P1 10.1422161109002, P2 9.4590263944947, P3 8.21735923254549, P4 5.89381145133982, 
  [*,92] P1 5.72946953804188, P2 6.4022828806283, P3 6.66139619057838, P4 6.017074242429, 
  [*,93] P1 8.93807703797405, P2 5.10736314662789, P3 7.30920429367326, P4 6.93731253780926, 
  [*,94] P1 8.6148146039756, P2 7.66097497016028, P3 7.35159988255932, P4 5.93646758297725, 
  [*,95] P1 7.98738940440426, P2 11.6531125956829, P3 6.94999661985232, P4 5.4366254148402, 
  [*,96] P1 10.4572157728024, P2 6.67728185222698, P3 6.44721959710018, P4 6.14805429493723, 
  [*,97] P1 7.02827755767106, P2 8.96902315831014, P3 9.63319054030841, P4 5.95171405498512, 
  [*,98] P1 10.7067476854198, P2 5.61196599180736, P3 6.61368073155456, P4 6.08550424998169, 
  [*,99] P1 10.5845650349984, P2 7.42977540752704, P3 6.65157006087763, P4 5.74963304288955, 
  [*,100] P1 6.8718062041297, P2 5.50544529144971, P3 8.10522987639485, P4 7.0696187219085, 
  [*,101] P1 5.526960738913, P2 6.8832245399875, P3 9.72295432664122, P4 7.18140846448036, 
  [*,102] P1 7.08353978430685, P2 8.16709376153849, P3 6.94979961698802, P4 6.51758834743541, 
  [*,103] P1 9.80871721822015, P2 7.93046112973258, P3 5.22501658671014, P4 5.46468399056174, 
  [*,104] P1 8.92897938262873, P2 9.66698019810092, P3 7.37854139003288, P4 5.82446575376486, 
  [*,105] P1 8.42395291203579, P2 9.24856878548008, P3 7.52677053555537, P4 5.34476050648841, 
  [*,106] P1 5.68361896456816, P2 11.9109526212626, P3 5.71534972042662, P4 6.20433501472175, 
  [*,107] P1 7.04697710701605, P2 10.0631923495277, P3 6.53877290625639, P4 5.71105985405513, 
  [*,108] P1 8.91523771186508, P2 7.53436769402506, P3 10.0222423169264, P4 6.54332266091125, 
  [*,109] P1 6.3709975147047, P2 7.7782789981136, P3 5.28328332932426, P4 6.36758209820348, 
  [*,110] P1 8.78315767821264, P2 8.46810954462002, P3 6.73448850279243, P4 6.17652463116943, 
  [*,111] P1 9.48132123216704, P2 10.5580877211396, P3 5.27541746387319, P4 5.03236745369476, 
  [*,112] P1 9.16563639437177, P2 7.79289154195669, P3 7.42251555849937, P4 6.3220491377681, 
  [*,113] P1 11.7357731645335, P2 6.9700527616073, P3 9.28234311617576, P4 5.33380180793918, 
  [*,114] P1 7.51110610844199, P2 8.88229293213038, P3 8.2474828196696, P4 6.91317508770268, 
  [*,115] P1 9.30445350775271, P2 7.77362023973509, P3 6.56598882669103, P4 6.11337350978145, 
  [*,116] P1 10.0446268952008, P2 9.94992750664911, P3 6.76213342240721, P4 5.4477500811379, 
  [*,117] P1 9.97534283219267, P2 11.0792581395529, P3 5.67983408223199, P4 5.87019990512021, 
  [*,118] P1 7.8307918022336, P2 7.94978195624544, P3 6.6944712038749, P4 6.74211521985582, 
  [*,119] P1 8.29003251404066, P2 7.59883925761549, P3 8.38073876545169, P4 5.55897287677508, 
  [*,120] P1 10.4717064706757, P2 7.39416191339213, P3 8.27585053707018, P4 5.07989517548375, 
  [*,121] P1 7.99309350596657, P2 7.67105578545062, P3 8.71501266801849, P4 6.1251321241949, 
  [*,122] P1 8.37162496068654, P2 7.12556259793315, P3 6.24977430458462, P4 5.40510108590842, 
  [*,123] P1 7.54797133132942, P2 6.12951213677729, P3 11.0353839011466, P4 6.54458771253152, 
  [*,124] P1 6.45209558587712, P2 7.80365148509398, P3 9.73966650228653, P4 7.14015997067617, 
  [*,125] P1 9.50080817958062, P2 5.72885600159403, P3 8.08977401319659, P4 6.05753422590907, 
  [*,126] P1 8.33615021389386, P2 10.7200812939103, P3 6.96579343435022, P4 6.03196523340047, 
  [*,127] P1 8.14169904571505, P2 9.48693217860122, P3 6.22223132243324, P4 6.08224362541527, 
  [*,128] P1 8.83614068097152, P2 6.49705274041326, P3 7.34175645107891, P4 5.89204225232343, 
  [*,129] P1 9.2646688452394, P2 6.60437682463143, P3 8.37889957073425, P4 5.74132609212437, 
  [*,130] P1 5.31503100333289, P2 9.8079968654374, P3 7.23387538522522, P4 7.21657902305026, 
  [*,131] P1 7.80183692086628, P2 7.10222024353887, P3 6.54356692670785, P4 6.51625325546809, 
  [*,132] P1 10.219116242201, P2 8.39381968204531, P3 5.09626490677354, P4 5.10577072174716, 
  [*,133] P1 10.4547139753658, P2 7.9484023550382, P3 6.45522359439922, P4 5.62303954169803, 
  [*,134] P1 11.1766012988695, P2 6.08144865228184, P3 6.01701898450446, P4 5.96276346720684, 
  [*,135] P1 8.21020275261994, P2 9.16213922309246, P3 8.24077572561921, P4 6.14550527255513, 
  [*,136] P1 9.39212581497603, P2 11.004198101762, P3 5.65995361351407, P4 5.10515739984607, 
  [*,137] P1 10.3203280078246, P2 8.59390173218295, P3 7.66207533394955, P4 5.51277517465696, 
  [*,138] P1 9.47958746927123, P2 5.74844323192434, P3 10.3483375588794, P4 6.00370462371949, 
  [*,139] P1 10.0978924447572, P2 10.6889771976691, P3 6.02609033216694, P4 6.11347721519991, 
  [*,140] P1 10.8828447157863, P2 10.0653088637118, P3 5.38174447907394, P4 5.48902491527601, 
  [*,141] P1 6.57932560168676, P2 8.7307273365631, P3 7.06061497173702, P4 6.76987871588711, 
  [*,142] P1 5.35528740276192, P2 7.9323131258319, P3 8.28649056478435, P4 6.61965101411876, 
  [*,143] P1 11.1852199003101, P2 11.1168951803246, P3 6.65219937574728, P4 5.55491384006722, 
  [*,144] P1 8.25489580109978, P2 8.47200028640442, P3 6.09307860033631, P4 6.91083525660322, 
  [*,145] P1 8.9146151380463, P2 5.73928268665857, P3 5.83425860234361, P4 6.45426201512034, 
  [*,146] P1 5.40570413193779, P2 8.24099847678625, P3 8.6585439863264, P4 7.53168637762172, 
  [*,147] P1 7.95801618914141, P2 6.33206603067226, P3 7.39215338806092, P4 6.50927664978694, 
  [*,148] P1 7.85537190676622, P2 9.67249914924966, P3 7.10982668033736, P4 6.0732438044584, 
  [*,149] P1 9.45730203228546, P2 9.73282844174917, P3 8.31326051796213, P4 5.3420183352031, 
  [*,150] P1 8.94093362344275, P2 7.94734814637647, P3 8.72118193130926, P4 6.32224570527404, 
  [*,151] P1 8.90454990664223, P2 6.5201594347288, P3 6.89736575408565, P4 5.34235709105216, 
  [*,152] P1 10.3276561042547, P2 7.89389675207932, P3 6.91948796544825, P4 5.10763279727268, 
  [*,153] P1 5.94659357685175, P2 9.58212193595895, P3 5.06594034518077, P4 6.42692018169736, 
  [*,154] P1 6.44077377733636, P2 10.1443086124176, P3 8.79605151308949, P4 5.8035560723174, 
  [*,155] P1 7.09657785090694, P2 7.64050760504069, P3 10.0050710803189, P4 7.26961832047723, 
  [*,156] P1 9.92693871297458, P2 6.14942282622694, P3 8.0227664827551, P4 5.82479118735342, 
  [*,157] P1 8.79744825005092, P2 8.27791695817613, P3 5.79419930058529, P4 5.74613811403113, 
  [*,158] P1 8.78667992071175, P2 11.399422947105, P3 5.91770230816274, P4 5.22468288315134, 
  [*,159] P1 5.132298146594, P2 5.25384187390881, P3 10.0759038116383, P4 6.80973809632451, 
  [*,160] P1 7.87087571231371, P2 8.15161936606536, P3 7.86071136254681, P4 7.32888795488792, 
  [*,161] P1 7.565099710836, P2 6.2688253328534, P3 9.89604273222214, P4 5.89709080461041, 
  [*,162] P1 11.9659452314065, P2 9.06355312885383, P3 6.73685061190541, P4 5.57098880130519, 
  [*,163] P1 5.03785514178778, P2 5.37803137248259, P3 7.99865737199512, P4 7.54900266363638, 
  [*,164] P1 8.857451921313, P2 7.67128302520945, P3 5.71206174313941, P4 5.6159547552121, 
  [*,165] P1 9.46234485414559, P2 9.96378096511217, P3 6.118648511666, P4 5.45268683388355, 
  [*,166] P1 6.28953945349303, P2 7.61402403311658, P3 6.58801242002323, P4 6.40513259154374, 
  [*,167] P1 6.0610836570403, P2 11.2804636199964, P3 6.78491334365977, P4 6.68202253061306, 
  [*,168] P1 10.4445986670301, P2 7.08484632093631, P3 9.59327782392007, P4 5.92242390773334, 
  [*,169] P1 11.8700016303674, P2 5.86395318104667, P3 7.2054528780095, P4 5.49516980244077, 
  [*,170] P1 10.3417582252023, P2 6.97161137807168, P3 6.01590445710469, P4 5.70816028193985, 
  [*,171] P1 7.80115670118895, P2 6.24452961950995, P3 7.23752925145448, P4 6.95441432121718, 
  [*,172] P1 8.92076615506877, P2 6.17084155327835, P3 10.6882841911875, P4 7.0519543040843, 
  [*,173] P1 9.69533200450659, P2 5.29317373431515, P3 9.21944763416054, P4 5.85420031284672, 
  [*,174] P1 8.04760959003068, P2 9.71165646663454, P3 7.30610986675539, P4 6.1429146819929, 
  [*,175] P1 6.57502508615978, P2 6.37645443624353, P3 8.14257456554779, P4 6.81401133167558, 
  [*,176] P1 10.3239390605415, P2 5.96178226334602, P3 9.29208919275042, P4 6.29883295386586, 
  [*,177] P1 9.31608861885768, P2 8.63349830854026, P3 6.03260539649899, P4 5.29277814006871, 
  [*,178] P1 10.4291798719926, P2 8.41900354057529, P3 7.49031041574309, P4 5.82178240781622, 
  [*,179] P1 7.09359633155341, P2 9.22668210307064, P3 8.60743527164333, P4 6.35977338437311, 
  [*,180] P1 8.20005236879436, P2 7.33736848438482, P3 6.89104549077936, P4 5.73875769592111, 
  [*,181] P1 5.35202756413473, P2 11.1751239993485, P3 9.4217522477223, P4 6.43450721458633, 
  [*,182] P1 10.57124075124, P2 6.24322231741577, P3 6.05496111361234, P4 6.04315675569388, 
  [*,183] P1 5.24228759595318, P2 5.63793047438101, P3 8.57331617707121, P4 7.26207473849812, 
  [*,184] P1 7.92950869243899, P2 6.04227656412038, P3 6.23919431302326, P4 6.42997485196328, 
  [*,185] P1 8.7251595040127, P2 5.09748736895163, P3 8.94112392730845, P4 6.4899391236484, 
  [*,186] P1 8.14736187944848, P2 10.1454258800207, P3 6.81283959578256, P4 6.5020380193637, 
  [*,187] P1 7.40768492215448, P2 10.807349239931, P3 5.13424318846139, P4 6.10580484280258, 
  [*,188] P1 11.4510320466417, P2 6.95139495713054, P3 7.34823043892209, P4 6.0596000775298, 
  [*,189] P1 10.8980265764206, P2 7.57800607336493, P3 5.59959685608269, P4 5.82983257130925, 
  [*,190] P1 11.0294142492394, P2 8.54860536678095, P3 5.70825208327042, P4 5.82552490568198, 
  [*,191] P1 7.68485504677957, P2 11.8139429796591, P3 5.19703949843976, P4 5.32080047875891, 
  [*,192] P1 9.38668637776899, P2 8.95710795448253, P3 6.32190512717759, P4 6.03597752580012, 
  [*,193] P1 6.82035213107441, P2 10.2000057761154, P3 6.67580293006446, P4 5.9090194859198, 
  [*,194] P1 8.77547426538874, P2 5.40081110635633, P3 8.11095347970248, P4 6.04682468934139, 
  [*,195] P1 11.5836886753922, P2 7.1532631040888, P3 7.31939703628685, P4 5.87692841560829, 
  [*,196] P1 10.524587126619, P2 9.85429256954273, P3 5.37165894526768, P4 5.89442565936908, 
  [*,197] P1 10.5373631288885, P2 7.36547867240784, P3 7.25536316529092, P4 6.0852568924337, 
  [*,198] P1 9.65494203512171, P2 7.99011156424765, P3 6.01168939450646, P4 6.64855472022244, 
  [*,199] P1 9.29157265085087, P2 8.83037674121246, P3 5.32559150330029, P4 5.4623125172925, 
  [*,200] P1 7.36921831491509, P2 8.90231635037645, P3 6.46820620067936, P4 6.03901194381146, 
  [*,201] P1 5.85944035805402, P2 9.64220765910038, P3 7.07695110649639, P4 5.82524692057808, 
  [*,202] P1 5.80963090766038, P2 9.12128445208189, P3 7.89418943993982, P4 6.89840912904712, 
  [*,203] P1 8.32384099302146, P2 8.71976315595322, P3 5.81257616327681, P4 6.25566575394591, 
  [*,204] P1 8.09577458679152, P2 11.1481598649694, P3 6.68216168834444, P4 6.03945521835674, 
  [*,205] P1 10.4706062404912, P2 10.0581491569961, P3 7.02355606190378, P4 5.83850076876146, 
  [*,206] P1 9.24815466925353, P2 5.84146795105774, P3 7.82578849638897, P4 7.75450780511256, 
  [*,207] P1 9.75273550178994, P2 5.3460001812518, P3 5.98523174500097, P4 6.10922353538844, 
  [*,208] P1 11.8634687486416, P2 8.84534077404647, P3 6.99547349516533, P4 5.15598639310434, 
  [*,209] P1 9.91979499507442, P2 5.03528705323064, P3 8.05987022993338, P4 6.51766440772117, 
  [*,210] P1 5.68466220070328, P2 11.0220232197157, P3 7.08195870721807, P4 6.13059313597904, 
  [*,211] P1 5.62803375365511, P2 8.33019667730494, P3 9.26216831848864, P4 7.1442774842226, 
  [*,212] P1 11.5505062542163, P2 5.94604412100658, P3 5.61514487853346, P4 6.14788202406367, 
  [*,213] P1 10.5634327276339, P2 11.2242306062889, P3 6.42056874700884, P4 5.19246085525497, 
  [*,214] P1 7.9325784328668, P2 8.69916991669743, P3 8.09979071372834, P4 5.50213521453948, 
  [*,215] P1 7.13826263655996, P2 8.65636619426452, P3 6.61082851577053, P4 6.75201587841376, 
  [*,216] P1 8.73966372299502, P2 7.62734579602189, P3 8.13851799378357, P4 6.34585652665301, 
  [*,217] P1 8.9781495063995, P2 6.354700045318, P3 7.29675380091872, P4 5.80030973276209, 
  [*,218] P1 9.59352122968165, P2 9.19213948536246, P3 6.2915186151918, P4 6.35523469558295, 
  [*,219] P1 10.5350282062138, P2 5.88057723950078, P3 6.6884671026459, P4 6.39391776639067, 
  [*,220] P1 5.85301929454939, P2 8.72039842671144, P3 5.19296569168401, P4 5.93291769459205, 
  [*,221] P1 8.98070716513557, P2 5.41832133586663, P3 10.8465771753184, P4 7.12075980307112, 
  [*,222] P1 10.336571959164, P2 5.76829235501438, P3 10.038432683918, P4 6.96274150157403, 
  [*,223] P1 8.63707250612356, P2 10.2233857012051, P3 8.23947493634036, P4 6.65412841953207, 
  [*,224] P1 9.06929490683659, P2 5.807168105491, P3 10.9374553841429, P4 6.39435129194291, 
  [*,225] P1 7.6794380159261, P2 5.01278516886141, P3 10.0739675226235, P4 7.16961615016568, 
  [*,226] P1 6.78163999354014, P2 9.48927436301744, P3 6.64613856114045, P4 6.48684293823112, 
  [*,227] P1 9.71299546601453, P2 5.94582889455598, P3 8.45494698220164, P4 5.95142056998932, 
  [*,228] P1 11.5573728422007, P2 5.91359322709565, P3 5.96777023059499, P4 6.29512336397767, 
  [*,229] P1 9.87475001314496, P2 7.50836301727944, P3 9.20970056313994, P4 5.85983265446501, 
  [*,230] P1 6.54408674782696, P2 8.11022012890782, P3 8.81527696230348, P4 6.90277944739373, 
  [*,231] P1 10.172860649011, P2 7.89053842287482, P3 6.42342870459157, P4 5.13950344183449, 
  [*,232] P1 10.2712607180437, P2 8.75326160909366, P3 8.11831554631778, P4 6.47926078256311, 
  [*,233] P1 11.8307648163639, P2 7.95533263998395, P3 6.23637094514112, P4 6.04887018224521, 
  [*,234] P1 9.09329745798605, P2 6.40131883635792, P3 9.71283192017695, P4 6.51724512390078, 
  [*,235] P1 7.50538602590692, P2 7.34818302762399, P3 7.08211855556621, P4 6.8601280977657, 
  [*,236] P1 6.68800351273451, P2 10.6218802054165, P3 7.52067110979513, P4 6.25076093579423, 
  [*,237] P1 10.8237415311146, P2 5.39298161748029, P3 8.92856270789037, P4 5.77340797092055, 
  [*,238] P1 11.3197804665902, P2 5.01350610656512, P3 7.76395164613609, P4 6.51876098889557, 
  [*,239] P1 5.58917853735794, P2 5.83249453916462, P3 7.42935331029644, P4 7.25931700889784, 
  [*,240] P1 8.22003588623155, P2 5.30016138999625, P3 9.09038340172452, P4 6.98865861328273, 
  [*,241] P1 8.79983055117001, P2 7.33529936213702, P3 7.51391062018821, P4 7.08858822989567, 
  [*,242] P1 6.11156783548603, P2 8.83804535277405, P3 7.6864764912849, P4 6.05208723391726, 
  [*,243] P1 7.01990534277716, P2 7.69257751039194, P3 7.82281762647893, P4 6.98057151073221, 
  [*,244] P1 6.1011804061382, P2 6.96977473023344, P3 7.98450060689378, P4 6.30523610243453, 
  [*,245] P1 5.67927941630726, P2 8.12545466787296, P3 6.76244491499136, P4 5.92826775845697, 
  [*,246] P1 10.2166299186709, P2 7.28727589586407, P3 11.3365127314603, P4 5.79803409003304, 
  [*,247] P1 10.7580428078581, P2 7.40546736790407, P3 5.38310290828451, P4 6.47343387882621, 
  [*,248] P1 8.70734008533891, P2 5.38458078371784, P3 9.93920468572951, P4 7.11300999234194, 
  [*,249] P1 7.75843616165083, P2 10.5657342207342, P3 5.90138147688851, P4 6.08218586239687, 
  [*,250] P1 5.35512964626111, P2 7.08119099312859, P3 7.77607054781807, P4 6.39307468696733, 
  [*,251] P1 10.4840214970533, P2 11.3996995453755, P3 6.39256160623096, P4 5.31940767297362, 
  [*,252] P1 7.83361221223128, P2 6.48994015981404, P3 7.47008060602179, P4 5.67185075443939, 
  [*,253] P1 5.47781260507165, P2 8.7004296867875, P3 5.99744425905412, P4 6.28482548415711, 
  [*,254] P1 5.61905431533955, P2 10.4134338221723, P3 7.34463807650821, P4 6.6446345918219, 
  [*,255] P1 5.4060136086439, P2 6.30380675022877, P3 7.1056636107836, P4 6.94045044314127, 
  [*,256] P1 10.6508580932297, P2 10.9854064258175, P3 7.34137461485893, P4 5.52611522465963, 
  [*,257] P1 9.69041764737903, P2 7.76456955000078, P3 9.81738148090673, P4 6.34375623686363, 
  [*,258] P1 11.3627965764142, P2 8.50993210522146, P3 6.63378652787441, P4 5.12314365325575, 
  [*,259] P1 7.7515486850044, P2 7.60422125716654, P3 6.11918634976192, P4 5.91881387855513, 
  [*,260] P1 9.07392078364495, P2 9.47392571963828, P3 6.13306665398555, P4 5.25629796861935, 
  [*,261] P1 8.24774368909468, P2 8.51359025236959, P3 7.96036206182431, P4 5.80300049097107, 
  [*,262] P1 8.66186098572255, P2 7.80076620918481, P3 7.06842275673701, P4 5.62609172932945, 
  [*,263] P1 5.24024999485984, P2 10.1125810297421, P3 7.22704769499551, P4 6.65216198320338, 
  [*,264] P1 7.66161165961631, P2 7.63465509886266, P3 6.06292339498099, P4 6.57250485046322, 
  [*,265] P1 11.1485307893883, P2 7.31665321204581, P3 8.16303856462396, P4 5.51829455430338, 
  [*,266] P1 8.87507181886489, P2 8.08543179481702, P3 8.40921256598618, P4 6.39187629571668, 
  [*,267] P1 11.6409348023681, P2 5.06830580977139, P3 6.77489554421639, P4 5.79300355936037, 
  [*,268] P1 5.69546554489599, P2 8.37895575528634, P3 9.33113951175468, P4 7.46456940273591, 
