param revenue :=
  [*,1] P1 10.5596799495951, P2 9.05714945920968, P3 6.33628347634327, P4 5.8554219239592, 
  [*,32] P1 5.8283942800243, P2 5.88325799801918, P3 9.88167179633691, P4 7.59125352352558, 
  [*,33] P1 10.6209114217932, P2 7.06667320979095, P3 7.47737766830674, P4 5.91116496732924, 
  [*,34] P1 9.75718359819131, P2 5.87869584916928, P3 8.32183376921808, P4 6.28050495634303, 
  [*,35] P1 7.38107373160013, P2 8.37392586381999, P3 7.92178358174121, P4 5.77900247464064, 
  [*,36] P1 11.5764956843492, P2 7.87906425887101, P3 6.6951371880124, P4 5.50085496522703, 
  [*,37] P1 5.30983978215782, P2 8.14249221287333, P3 6.56773967335744, P4 6.00862643194153, 
  [*,38] P1 8.15306508882564, P2 5.77968709983676, P3 5.5739801218693, P4 5.74469280396518, 
  [*,39] P1 7.79399253952275, P2 9.32751018832238, P3 5.89464015634211, P4 5.91888652447081, 
  [*,40] P1 10.2226308373308, P2 8.25741750023938, P3 8.07827657533645, P4 5.08111161118083, 
  [*,41] P1 10.4244194128486, P2 5.56218873302302, P3 8.99710572663132, P4 7.19626054694183, 
  [*,42] P1 6.49918068222611, P2 9.99007095785444, P3 9.6032051637712, P4 6.80928056046845, 
  [*,43] P1 8.19572546270669, P2 6.33542761754188, P3 8.87462201724443, P4 5.98356149875783, 
  [*,44] P1 9.44689564788125, P2 7.00308645449733, P3 9.80862396806386, P4 6.21247856862522, 
  [*,45] P1 9.85142996019269, P2 10.0293072611373, P3 7.75813145244596, P4 5.90157139273819, 
  [*,46] P1 10.1500457174481, P2 6.44252962079087, P3 6.78011081752454, P4 5.72969199449526, 
  [*,47] P1 7.111259645027, P2 10.7550230457423, P3 6.25282731312786, P4 6.48230990417305, 
  [*,48] P1 9.65978672707613, P2 6.37083341197914, P3 8.79627450909826, P4 6.13599133002007, 
  [*,49] P1 9.50265344030447, P2 10.407102298664, P3 6.35528751175006, P4 5.53239332972012, 
  [*,50] P1 6.32435681861594, P2 9.67007786700827, P3 7.52864360819927, P4 5.91682990734445, 
  [*,51] P1 5.99841808015004, P2 7.21911629000341, P3 7.58150484866255, P4 6.47865923205227, 
  [*,52] P1 8.52360719499796, P2 9.16930663696983, P3 6.45981138862403, P4 5.29484123773925, 
  [*,53] P1 11.6548334105061, P2 5.88965209211002, P3 7.80487426898648, P4 5.95866854508308, 
  [*,54] P1 7.53152160706513, P2 6.85871113981647, P3 6.60962030997247, P4 6.18611277563861, 
  [*,55] P1 9.06332070895189, P2 6.17007096534834, P3 9.87178048110391, P4 6.79787373686229, 
  [*,56] P1 6.75796684285452, P2 6.54540488080005, P3 7.97493805211762, P4 7.25850911782974, 
  [*,57] P1 6.97119034384506, P2 6.84702684141538, P3 6.59101729263124, P4 6.48671668931523, 
  [*,58] P1 8.57068141809942, P2 10.9107383258985, P3 5.9262376711, P4 5.42204356921216, 
  [*,59] P1 9.78465805567627, P2 5.80338989028034, P3 7.81986279171046, P4 5.6146350498391, 
  [*,60] P1 11.1115755794403, P2 10.0869669351499, P3 5.4109192353364, P4 5.25992809387009, 
  [*,61] P1 11.6510840270141, P2 5.59780239060727, P3 9.50527832573783, P4 6.40551066885643, 
  [*,62] P1 8.82655379073388, P2 8.01803059864831, P3 7.8761479128458, P4 5.94884117335029, 
  [*,63] P1 6.14710932434556, P2 10.702118202744, P3 6.84361844576369, P4 6.1508772311835, 
  [*,64] P1 6.22652508593489, P2 6.59616352286492, P3 5.96680220549585, P4 6.90861230067101, 
  [*,65] P1 6.98743909624333, P2 6.42917409880546, P3 6.62685000105559, P4 6.94567574624206, 
  [*,66] P1 10.7433307342058, P2 8.3256985780934, P3 6.92801437409769, P4 5.23748602518196, 
  [*,67] P1 6.96571040795712, P2 10.5413885692523, P3 5.56585837949762, P4 6.07337073222209, 
  [*,68] P1 10.5566154454753, P2 6.00156412824214, P3 9.58231635272068, P4 6.23167974438515, 
  [*,69] P1 6.89290154137685, P2 9.65700555767731, P3 8.37600527871338, P4 6.26391408036118, 
  [*,70] P1 11.4079411106825, P2 6.10791296032572, P3 6.78770223957067, P4 6.13867020881626, 
  [*,71] P1 7.59308091431621, P2 9.73792659376963, P3 7.5949636530135, P4 5.95478513310264, 
  [*,72] P1 6.56810952143003, P2 11.9661499966465, P3 7.40349664052093, P4 5.66685746739642, 
  [*,73] P1 6.94412076539138, P2 6.69010815121846, P3 8.32830836089061, P4 6.7955622317489, 
  [*,74] P1 9.25595989536606, P2 10.4854190957069, P3 8.09694286507286, P4 5.95563864511112, 
  [*,75] P1 8.36803191266897, P2 11.8657485286851, P3 6.76215194171693, P4 5.54856395286727, 
  [*,76] P1 7.60380370907631, P2 7.78897226629324, P3 7.57928709481966, P4 6.71093876401541, 
  [*,77] P1 10.6729543817717, P2 8.06221853083562, P3 8.01330980332747, P4 5.05424754080901, 
  [*,78] P1 9.06329787308904, P2 7.92575589349591, P3 7.30977138412273, P4 5.5317377830129, 
  [*,79] P1 8.84212664853336, P2 5.04404439383915, P3 7.83500996333971, P4 5.04885029954842, 
  [*,80] P1 11.3131001343028, P2 8.56293282008757, P3 6.96778720931045, P4 5.71250622455991, 
  [*,81] P1 7.17630104880169, P2 6.71575662578522, P3 7.886028328523, P4 6.13260037943583, 
  [*,82] P1 10.1668457969783, P2 9.43885949068657, P3 5.67326254118747, P4 5.37500506631311, 
  [*,83] P1 10.1436525536628, P2 8.26997382956237, P3 9.24199303840346, P4 6.38760904435738, 
  [*,84] P1 7.78695060259905, P2 8.84913287069786, P3 7.06737655421138, P4 6.16750953093764, 
  [*,85] P1 8.95461948233985, P2 5.77265604944437, P3 11.9179947872406, P4 6.47700848935737, 
  [*,86] P1 5.65798423077328, P2 8.31774070613896, P3 6.84594677141259, P4 6.22168346553516, 
  [*,87] P1 5.47677391329551, P2 9.61388416555564, P3 7.47161241086907, P4 6.43293595407146, 
  [*,88] P1 8.72468495425341, P2 5.26006350556335, P3 10.5672938905857, P4 6.94733238221162, 
  [*,89] P1 10.3148862675118, P2 10.3839242046677, P3 9.57731612039606, P4 5.18256130595816, 
  [*,90] P1 11.4456745162346, P2 8.70569513133693, P3 6.80689293177066, P4 5.38732612872904, 
  [*,91] P1 6.0814917031922, P2 7.79695317940092, P3 6.3425307169878, P4 6.90187714367811, 
  [*,92] P1 8.96085502861899, P2 10.1733872025133, P3 7.12229217864101, P4 5.1129588389675, 
  [*,93] P1 8.343819656062, P2 7.52787312318639, P3 5.44698019762646, P4 6.36236407934307, 
  [*,94] P1 5.10942545856414, P2 5.91986039172965, P3 8.07449506913978, P4 7.41309352915, 
  [*,95] P1 7.51053567917862, P2 5.68808601006412, P3 8.66257166049197, P4 6.30192699040863, 
  [*,96] P1 6.32122377280849, P2 10.3650611504412, P3 8.32111940856286, P4 5.67127288002236, 
  [*,97] P1 10.4181297388246, P2 7.63225866145928, P3 9.03796988466063, P4 6.12942883474133, 
  [*,98] P1 7.34278811693164, P2 8.85955033763006, P3 6.76512336860486, P4 6.57418035474416, 
  [*,99] P1 8.71064241464989, P2 10.125013558388, P3 7.34566012309052, P4 6.09815494531269, 
  [*,100] P1 6.34647459258218, P2 8.33892578747587, P3 6.7169025740762, P4 6.80748742377214, 
  [*,101] P1 9.16777821935894, P2 9.08250303524291, P3 7.41061988595966, P4 5.33375361949381, 
  [*,102] P1 7.02412617685194, P2 9.74124546311224, P3 9.13086328469174, P4 6.62542006720982, 
  [*,103] P1 9.72095734197189, P2 8.79152059421535, P3 6.12306179048646, P4 5.43601044850264, 
  [*,104] P1 10.1064927006498, P2 11.5131546970484, P3 5.52725323520839, P4 5.135603413068, 
  [*,105] P1 8.22659404991233, P2 7.63757820421241, P3 8.28421725103684, P4 6.80283189968179, 
  [*,106] P1 5.72240367225148, P2 7.74212557792842, P3 9.41541000039653, P4 6.95555909053746, 
  [*,107] P1 6.79351875533429, P2 7.04070110854011, P3 10.7289783477669, P4 7.31343266484419, 
  [*,108] P1 11.2831193302152, P2 5.68088816614306, P3 7.9003704535417, P4 6.5873860804363, 
  [*,109] P1 6.24930500291103, P2 7.80941745061661, P3 7.6620296535707, P4 6.10085186689841, 
  [*,110] P1 10.6375311487397, P2 9.99033778537446, P3 5.2519587036575, P4 5.59084978173525, 
  [*,111] P1 8.7714852436447, P2 7.94573021375082, P3 9.33697336549333, P4 6.23830256635055, 
  [*,112] P1 5.67683138241685, P2 10.9483945059322, P3 5.35352311516953, P4 6.67568617072336, 
  [*,113] P1 8.17759986298683, P2 8.43930222447757, P3 9.98424034345754, P4 6.73026343355069, 
  [*,114] P1 5.90302657700181, P2 5.56068403992526, P3 9.67733717353521, P4 6.74696255598661, 
  [*,115] P1 11.6727178767468, P2 8.81624559028969, P3 7.30992036642608, P4 5.34445371579677, 
  [*,116] P1 5.04292307236912, P2 8.50405981825, P3 5.83133850440789, P4 6.74454216087128, 
  [*,117] P1 10.2860219166323, P2 8.03643876526573, P3 7.44732983344362, P4 7.219163043633, 
  [*,118] P1 10.9461805561136, P2 7.860938934943, P3 5.29534434621919, P4 6.55034595071586, 
  [*,119] P1 5.72734092832539, P2 10.4852281894236, P3 5.91505101226729, P4 6.45074386756475, 
  [*,120] P1 7.90899610553821, P2 8.33290105175075, P3 6.41193272588756, P4 6.22380181357482, 
  [*,121] P1 7.00331868047661, P2 10.4566398672358, P3 6.83751048074838, P4 6.36921552902158, 
  [*,122] P1 8.10730023114161, P2 9.48367346595105, P3 7.95433207640647, P4 6.64526566804955, 
  [*,123] P1 11.2622965246597, P2 8.4498412516036, P3 9.04092216983456, P4 5.59719777263149, 
  [*,124] P1 6.46330629055283, P2 8.07624637338712, P3 6.85129151490785, P4 5.85250150277042, 
  [*,125] P1 7.02969928751787, P2 6.48855225187661, P3 7.94752866158726, P4 7.04234939438466, 
  [*,126] P1 6.1986841011932, P2 11.4468655897374, P3 6.43843352182385, P4 5.38307895215589, 
  [*,127] P1 6.12794176388852, P2 7.70410912284256, P3 9.19487035578869, P4 5.94123653593756, 
  [*,128] P1 10.950577150921, P2 8.95303480656934, P3 7.05879656620852, P4 5.6390989447329, 
  [*,129] P1 9.02862554187731, P2 5.01388852460831, P3 8.97278180761196, P4 6.07662109869458, 
  [*,130] P1 8.84297486930529, P2 7.68449690074211, P3 6.49424236666203, P4 5.61133585719917, 
  [*,131] P1 6.19434231510576, P2 9.6004204048557, P3 6.26741688931894, P4 6.22955762833891, 
  [*,132] P1 10.8319049740095, P2 6.20306152315042, P3 8.49860492456783, P4 5.75204177031158, 
  [*,133] P1 9.29374305861343, P2 8.46550065099616, P3 9.12855242473514, P4 5.96093029810278, 
  [*,134] P1 7.59927980650443, P2 7.11121619195261, P3 8.39949385979506, P4 6.62067026290857, 
  [*,135] P1 8.61588786278192, P2 7.0050481401098, P3 5.821171522438, P4 5.56343897163655, 
  [*,136] P1 7.92174003417565, P2 7.49778348792004, P3 7.98705115501502, P4 5.79514918153257, 
  [*,137] P1 5.65889837873983, P2 6.46987137579904, P3 8.00502110482847, P4 5.96522868608946, 
  [*,138] P1 6.86834921219557, P2 10.2158783855386, P3 5.87770112838073, P4 5.88767654747458, 
  [*,139] P1 6.03145913306559, P2 8.67879132329722, P3 6.73905362328567, P4 6.78627292786742, 
  [*,140] P1 6.478037434409, P2 11.1593843751601, P3 7.04887089810658, P4 5.80730588978643, 
  [*,141] P1 6.86859699272681, P2 8.12008665654684, P3 6.75734111221739, P4 6.6145386024785, 
  [*,142] P1 8.01879103556341, P2 6.33694270680127, P3 6.8038266197793, P4 6.62031502452934, 
  [*,143] P1 5.44048247317833, P2 8.77155553992319, P3 6.56129645983057, P4 7.02599959489836, 
  [*,144] P1 11.2013086999537, P2 11.051733317571, P3 5.46758828748997, P4 5.52986612609088, 
  [*,145] P1 11.5322899206778, P2 7.48352117469494, P3 7.1901185319394, P4 5.26349152297075, 
  [*,146] P1 8.47709859625075, P2 9.86756296342127, P3 5.88664862858676, P4 5.39973440687354, 
  [*,147] P1 8.46710361750984, P2 7.53405078704117, P3 7.07694626126999, P4 6.18856992890702, 
  [*,148] P1 7.51437590578852, P2 7.9351481002593, P3 7.26654255596266, P4 6.01937246961335, 
  [*,149] P1 11.1809728630619, P2 6.08280039542989, P3 8.29395590987472, P4 6.56586443382564, 
  [*,150] P1 7.71592397536638, P2 11.8051096256665, P3 7.17936199460189, P4 6.44698560765938, 
  [*,151] P1 5.9383614297556, P2 7.72711335977562, P3 8.38380447339084, P4 6.79327972618951, 
  [*,152] P1 7.84569210634713, P2 9.50004132405893, P3 7.28522910542498, P4 6.3065409684455, 
  [*,153] P1 6.88043432926999, P2 6.46640414412728, P3 7.64175683404869, P4 6.35290897973937, 
  [*,154] P1 7.93497197115162, P2 9.95340657143553, P3 6.01122727898787, P4 5.84039124307374, 
  [*,155] P1 5.82304875256251, P2 8.36320708646202, P3 6.6773096545536, P4 6.31485569433414, 
  [*,156] P1 6.09711046627701, P2 8.94989642663509, P3 8.77076735015717, P4 6.65401963360055, 
  [*,157] P1 11.51016601059, P2 6.48892638264562, P3 7.08082330831707, P4 6.20502145741384, 
  [*,158] P1 11.6250022087541, P2 7.76328946043388, P3 5.92613992384077, P4 5.76052707974324, 
  [*,159] P1 9.00060921314823, P2 8.14488908660645, P3 5.92299601968452, P4 6.41537667613062, 
  [*,160] P1 5.52561503239366, P2 11.1590002018659, P3 5.99805693090212, P4 5.81161311044429, 
  [*,161] P1 6.83329163133021, P2 6.23634655300842, P3 7.17227724156549, P4 6.73191469469311, 
  [*,162] P1 7.61338987474701, P2 8.08274212903319, P3 6.24729300773848, P4 5.75315632321966, 
  [*,163] P1 10.6049961330172, P2 5.39170840671288, P3 8.90334507148407, P4 6.32447753910275, 
  [*,164] P1 5.14112090070299, P2 8.8966027265526, P3 8.15832041845036, P4 6.89864994335237, 
  [*,165] P1 5.38394695260846, P2 8.33438370826947, P3 10.7291610786842, P4 7.57175858410626, 
  [*,166] P1 6.37072903041828, P2 5.70030182955865, P3 8.83833145397865, P4 7.44305695147778, 
  [*,167] P1 9.46466445658775, P2 9.71435003281473, P3 6.22572730901137, P4 5.93963136115156, 
  [*,168] P1 9.99776854880126, P2 9.19037064933506, P3 5.51518594401358, P4 5.3098213334173, 
  [*,169] P1 9.45597907931352, P2 9.33200675848726, P3 6.04912159046279, P4 5.45714792336221, 
  [*,170] P1 8.22897334742856, P2 6.31136850008886, P3 7.82637462786446, P4 5.48445122091766, 
  [*,171] P1 8.82527091314351, P2 10.5976105170117, P3 7.01673205065315, P4 5.52417794416699, 
  [*,172] P1 7.24535396995241, P2 9.64775433383588, P3 6.08097267530099, P4 5.36798079152889, 
  [*,173] P1 10.0835137783012, P2 7.80076492191051, P3 8.02848842602533, P4 6.31870418306091, 
  [*,174] P1 6.51399600346666, P2 10.9305321968794, P3 5.12261048722075, P4 6.39991799521212, 
  [*,175] P1 6.47520439320934, P2 7.9463385974617, P3 8.73949747253146, P4 6.47493314285031, 
  [*,176] P1 7.71108009118199, P2 6.20868294841416, P3 9.52958839650873, P4 6.73972608961475, 
  [*,177] P1 9.3161724165865, P2 6.33641685121399, P3 8.85054001304595, P4 7.01880188852466, 
  [*,178] P1 10.3220891279952, P2 5.06718580247929, P3 5.0399033230267, P4 6.53980200498421, 
  [*,179] P1 5.70069224622145, P2 6.21819657703723, P3 7.45191576017701, P4 6.69394214313809, 
  [*,180] P1 11.4089104898428, P2 8.81503385656881, P3 7.60389708207892, P4 5.5552931489629, 
  [*,181] P1 10.2914548524307, P2 5.66562208151729, P3 8.50884594157919, P4 5.6350222872518, 
  [*,182] P1 8.45183763090203, P2 7.95169530582624, P3 7.10420282833148, P4 6.30507535491203, 
  [*,183] P1 8.13505649336592, P2 6.37133587099467, P3 8.49763465472192, P4 6.82357867181954, 
  [*,184] P1 8.20318750558459, P2 7.09771774974332, P3 9.12544030535563, P4 6.84938514887942, 
  [*,185] P1 7.31104401617754, P2 8.89597273422605, P3 7.00779147697499, P4 5.52946493962933, 
  [*,186] P1 8.58649913742059, P2 7.85831441912921, P3 6.05407729300704, P4 6.25037275201545, 
  [*,187] P1 8.60052693529688, P2 8.46259753648602, P3 6.58410716024451, P4 5.59571442347734, 
  [*,188] P1 10.5799873886341, P2 7.50731375027202, P3 6.75509225026143, P4 5.55493001674342, 
  [*,189] P1 10.421886924233, P2 11.2138747868511, P3 6.58616772164085, P4 5.66473771595657, 
  [*,190] P1 9.43425738945854, P2 6.78917668575774, P3 8.10814954977402, P4 6.28492739083579, 
  [*,191] P1 7.7753216774147, P2 7.22931725714284, P3 8.29297375858358, P4 6.36451212490265, 
  [*,192] P1 10.5377563540202, P2 6.20214228318873, P3 7.8775457079251, P4 6.25848669386648, 
  [*,193] P1 8.73726283372817, P2 6.5939429398431, P3 7.19136694703571, P4 6.97911819435528, 
  [*,194] P1 7.5978383045781, P2 8.56779186698225, P3 6.9969166086598, P4 5.92472096152656, 
  [*,195] P1 11.4856204291774, P2 6.42532450310965, P3 7.75445697740909, P4 5.1428798366774, 
  [*,196] P1 10.9997076278119, P2 8.71415722050181, P3 6.61972003956305, P4 5.88644069155244, 
  [*,197] P1 9.29638524878681, P2 8.78779484649999, P3 7.91009406640147, P4 5.6173835648275, 
  [*,198] P1 9.07440996582658, P2 7.82628770431339, P3 6.92533592311949, P4 6.26265743677964, 
  [*,199] P1 6.64640020928809, P2 10.865391807079, P3 8.16271376397164, P4 5.26990971858747, 
  [*,200] P1 7.27766203743032, P2 7.01807890549875, P3 8.47129852678507, P4 6.6845464500614, 
  [*,201] P1 8.35334059121312, P2 7.0741708625198, P3 6.92960579400317, P4 5.87626436396005, 
  [*,202] P1 6.80389344061492, P2 9.78974002300236, P3 6.21362808091323, P4 6.65774731510446, 
  [*,203] P1 10.7690548460997, P2 8.89684450604966, P3 5.9819092131933, P4 5.07116481821038, 
  [*,204] P1 6.55517568292596, P2 8.01091457234318, P3 7.64012755487699, P4 6.53687987167567, 
  [*,205] P1 6.77250678013571, P2 6.93870308344157, P3 8.84420228684245, P4 6.28918533253223, 
  [*,206] P1 6.38316811330525, P2 5.68362450266124, P3 8.00569377355291, P4 6.5619961423748, 
  [*,207] P1 6.78449705644369, P2 6.92118701228493, P3 8.43280463241645, P4 6.56385682018899, 
  [*,208] P1 8.13405833685419, P2 7.75848054721087, P3 9.70494060082727, P4 6.31794213031071, 
  [*,209] P1 7.34205338228923, P2 6.46477234602894, P3 9.24805954408621, P4 6.45445977570942, 
  [*,210] P1 11.3615136286707, P2 6.09024602953872, P3 8.78658667412039, P4 6.42208537553094, 
  [*,211] P1 8.09976229225085, P2 11.0370349712989, P3 6.27539609696737, P4 6.00934556803064, 
  [*,212] P1 6.48452281858474, P2 10.094451862004, P3 5.57195295268123, P4 6.97627149265172, 
  [*,213] P1 11.8233614582326, P2 6.85599859761084, P3 7.06241002588962, P4 6.07020461191134, 
  [*,214] P1 8.1538487659507, P2 10.6004860917758, P3 7.04223116672841, P4 6.31000596061044, 
  [*,215] P1 5.93771460817545, P2 5.27154521400339, P3 6.52824575843935, P4 7.17861976096792, 
  [*,216] P1 6.9911820737125, P2 8.9518279126344, P3 8.2518812572469, P4 6.55599101677088, 
  [*,217] P1 7.96517841932183, P2 8.63408132887928, P3 5.76451008650866, P4 5.85654283597446, 
  [*,218] P1 9.12345152047641, P2 8.49170271870785, P3 9.69519194853808, P4 6.45672975721544, 
  [*,219] P1 7.01903352184047, P2 5.56450396329435, P3 5.25997625731505, P4 6.9352896293306, 
  [*,220] P1 9.17316985362938, P2 8.4191859242775, P3 7.42288444183915, P4 6.42240960149065, 
  [*,221] P1 9.86347937401555, P2 5.84305033060142, P3 7.92089563309816, P4 6.35222076408084, 
  [*,222] P1 5.98629244915053, P2 11.4383132438631, P3 6.32382588731274, P4 5.8243610091276, 
  [*,223] P1 7.24768591639242, P2 10.7629649840987, P3 6.19383906841444, P4 5.45283774410043, 
  [*,224] P1 7.39197586544356, P2 5.17269195267982, P3 9.74989282110348, P4 6.75608210823892, 
  [*,225] P1 8.06199219005158, P2 7.07979058909989, P3 7.65012739995057, P4 6.43240523826871, 
  [*,226] P1 8.58246744471312, P2 8.96246684008697, P3 7.10940275526409, P4 6.41106589331488, 
  [*,227] P1 5.73600774677341, P2 7.00311176639456, P3 11.7542901771431, P4 6.79284897723995, 
  [*,228] P1 7.0208474172791, P2 10.7564174303718, P3 5.54820814839449, P4 5.72127114391474, 
  [*,229] P1 10.4644798264562, P2 9.86660798864512, P3 7.56773171142192, P4 6.89351865859104, 
  [*,230] P1 5.26413217472627, P2 6.81175410659263, P3 8.27758341303475, P4 6.69846279588733, 
  [*,231] P1 11.4046979082186, P2 8.44212110682707, P3 6.584171850758, P4 6.31493338834291, 
  [*,232] P1 9.9886079915206, P2 6.71959681246428, P3 8.46248066145016, P4 6.51535206013354, 
  [*,233] P1 8.46311107475018, P2 6.57874506469889, P3 5.77617548728034, P4 5.9187277473634, 
  [*,234] P1 9.02127349097555, P2 6.58652646459644, P3 9.68395246399886, P4 6.3356658472191, 
  [*,235] P1 8.27829242927587, P2 6.82463365571397, P3 7.7030642115237, P4 6.5551376039877, 
  [*,236] P1 11.6826279251604, P2 8.44953364379891, P3 5.95709879434678, P4 5.95467831801468, 
  [*,237] P1 8.82400956403986, P2 6.08390750372984, P3 8.14381291667357, P4 5.60887342414942, 
  [*,238] P1 8.66477689659491, P2 9.39353094528042, P3 7.64656466951766, P4 6.87726605930421, 
  [*,239] P1 6.81148026352388, P2 7.83721635007616, P3 9.50176577851439, P4 7.01155003454211, 
  [*,240] P1 8.46490228438639, P2 10.0643775657011, P3 6.87029723527637, P4 5.6003504162532, 
  [*,241] P1 9.3063601887982, P2 8.63152851446713, P3 9.51048000349082, P4 6.01441245103976, 
  [*,242] P1 9.65614738567212, P2 5.31954469864997, P3 10.1918773224407, P4 6.58741673290185, 
  [*,243] P1 7.88212163486603, P2 7.8132908701171, P3 7.24798460557213, P4 6.39793493361904, 
  [*,244] P1 7.70441796070161, P2 11.9547506607291, P3 5.91359543329002, P4 6.24556529541789, 
  [*,245] P1 11.8944022808314, P2 6.5587153407029, P3 7.01165487950212, P4 6.09791243718912, 
  [*,246] P1 5.33842034752413, P2 8.28816869940213, P3 7.34074223008125, P4 6.55227343850172, 
  [*,247] P1 11.068462662872, P2 8.07840927847456, P3 7.029264087133, P4 5.52613700227872, 
  [*,248] P1 10.4311855553625, P2 5.54202673223617, P3 6.65049830430519, P4 6.03464720675139, 
  [*,249] P1 5.84084977195166, P2 6.47920460264067, P3 9.23057695391356, P4 7.5046371605079, 
  [*,250] P1 7.01674922316054, P2 10.3438716494294, P3 6.24470682270435, P4 5.73833660795052, 
  [*,251] P1 7.49916667416675, P2 10.5832701270521, P3 6.07015129171537, P4 6.12872209099761, 
  [*,252] P1 9.6599489353022, P2 8.55384817753018, P3 7.75965198488517, P4 5.99848539092215, 
  [*,253] P1 6.13158016686858, P2 9.07697730803769, P3 7.22362639468363, P4 7.09111827596297, 
  [*,254] P1 9.92885552811502, P2 8.54331770554033, P3 6.30719486252286, P4 5.08204180689591, 
  [*,255] P1 9.49413338468419, P2 8.88147123286166, P3 7.39251717294684, P4 5.85507885965998, 
  [*,256] P1 8.4976253135209, P2 10.7381333534841, P3 5.62251138306426, P4 6.08153096076461, 
  [*,257] P1 9.88839174523392, P2 5.68112522348815, P3 8.11620429511234, P4 7.47201492247546, 
  [*,258] P1 11.2089986811441, P2 9.59383053075072, P3 6.23346118290017, P4 5.20696195876715, 
  [*,259] P1 11.1117207872681, P2 7.72253320055315, P3 7.52272590441273, P4 5.79049241201577, 
  [*,260] P1 7.49147549699113, P2 6.16717614030725, P3 7.20326072144683, P4 6.31908744046858, 
  [*,261] P1 9.78251605128782, P2 7.95170188089009, P3 5.81061696863046, P4 5.92863128871922, 
  [*,262] P1 6.5766774934123, P2 9.69070682118352, P3 7.01435118045822, P4 6.10574266702588, 
  [*,263] P1 5.27572446871035, P2 6.89353034810641, P3 10.6430273679469, P4 7.11896497321322, 
  [*,264] P1 10.0794095337989, P2 7.47645465253913, P3 6.69062213895767, P4 6.56142059171524, 
  [*,265] P1 8.53388940407978, P2 5.18671914304848, P3 6.96122708085981, P4 6.03515318860402, 
  [*,266] P1 8.4092125557272, P2 8.37548915484059, P3 6.56598594445759, P4 5.77370112745145, 
  [*,267] P1 11.2166770238775, P2 7.70450031772173, P3 6.19487729388682, P4 5.4969879444764, 
  [*,268] P1 9.21718363448087, P2 7.26306769766878, P3 6.8669461114367, P4 5.9729817756174, 
