param revenue :=
  [*,1] P1 7.49203628371034, P2 7.54716551370978, P3 8.62885703549665, P4 6.65308821662005, 
  [*,32] P1 8.13920713921704, P2 11.0922430715506, P3 5.81485171558252, P4 5.17503868684633, 
  [*,33] P1 5.79179854422412, P2 6.60419489975932, P3 6.0746796007304, P4 6.81941598462006, 
  [*,34] P1 6.06790056066211, P2 10.5965593311541, P3 9.20416001245503, P4 6.74113994375275, 
  [*,35] P1 7.1547614208345, P2 8.31187508005448, P3 6.4457222076297, P4 6.87038816288045, 
  [*,36] P1 8.9911282461099, P2 9.09702433925062, P3 5.68531635324441, P4 5.24746717683436, 
  [*,37] P1 9.68596988570769, P2 6.98877104227169, P3 8.82392315143512, P4 6.08371294965636, 
  [*,38] P1 8.59895749358016, P2 6.90665698903569, P3 8.90725115995805, P4 7.08290832654817, 
  [*,39] P1 10.0161565963716, P2 6.05507822724667, P3 7.12052253892201, P4 5.78833705431173, 
  [*,40] P1 9.07772410067007, P2 5.84491314713271, P3 5.61585142340675, P4 6.12398536341268, 
  [*,41] P1 5.12537976447275, P2 5.05238936691533, P3 8.12864980052937, P4 6.5771733479982, 
  [*,42] P1 7.9225349574509, P2 7.84120149836909, P3 7.9999059801226, P4 7.36580546002515, 
  [*,43] P1 8.60971730761458, P2 6.98646297305905, P3 7.80996450798709, P4 6.52285092640834, 
  [*,44] P1 5.29220650082497, P2 6.0994364979568, P3 6.61497586279309, P4 6.90935420893361, 
  [*,45] P1 8.45854349550757, P2 9.57131973437594, P3 7.63159709252801, P4 5.61741339338632, 
  [*,46] P1 11.4226450137953, P2 6.61517298363599, P3 7.87547109187218, P4 5.8539081306692, 
  [*,47] P1 6.76276232501397, P2 6.28695717693578, P3 8.24572832418897, P4 7.36899089057559, 
  [*,48] P1 10.0660832656689, P2 6.13899582969711, P3 8.12689179898928, P4 6.30497765566633, 
  [*,49] P1 8.91614101435144, P2 6.51611389768371, P3 10.1341103256856, P4 6.27575360507552, 
  [*,50] P1 5.91660224766641, P2 7.10925875754432, P3 8.83378972123672, P4 7.14791962736236, 
  [*,51] P1 9.53008549224795, P2 6.59765692430408, P3 5.58005740587627, P4 6.71865260368766, 
  [*,52] P1 9.63271114227216, P2 9.76562143628466, P3 6.87328338545243, P4 5.21957335738656, 
  [*,53] P1 6.79755492725947, P2 7.23051219572291, P3 6.29862274472207, P4 6.86701462294952, 
  [*,54] P1 9.05746194922799, P2 8.40245196184341, P3 7.38727051953326, P4 6.02325778554128, 
  [*,55] P1 11.7809059199947, P2 7.64904705312564, P3 6.4381687912944, P4 5.41217744210626, 
  [*,56] P1 10.0433618928022, P2 6.87272297860343, P3 7.82947074262293, P4 5.41737609485416, 
  [*,57] P1 11.5336114583475, P2 7.19931174686507, P3 7.95177067921141, P4 6.39552738055947, 
  [*,58] P1 5.39458854499347, P2 10.069138360121, P3 8.69141289744754, P4 6.77830923702609, 
  [*,59] P1 7.81141190628787, P2 8.5950778790662, P3 5.66966823716159, P4 6.26509475896775, 
  [*,60] P1 10.0842897712296, P2 8.60862655899536, P3 5.7684185179821, P4 5.78339220054444, 
  [*,61] P1 11.489854134141, P2 8.05939686901654, P3 6.56715611454587, P4 5.59498240318706, 
  [*,62] P1 6.34421854526179, P2 5.99741686760632, P3 5.46347558795915, P4 6.57149313770898, 
  [*,63] P1 7.59595987025236, P2 10.2762932173728, P3 5.9583328850444, P4 5.72517490678481, 
  [*,64] P1 9.07379835614092, P2 5.15798332822166, P3 7.49778155985378, P4 6.8072151763624, 
  [*,65] P1 7.31657001550456, P2 6.77294159880314, P3 6.89847053585878, P4 7.1664200302189, 
  [*,66] P1 10.9333005683568, P2 6.85305900017171, P3 7.06108926171192, P4 6.17320045716664, 
  [*,67] P1 8.88088354699068, P2 9.42944035436708, P3 7.08752517312121, P4 6.85085850324816, 
  [*,68] P1 11.8451049583051, P2 5.75626551187847, P3 7.05774297807085, P4 6.16278291525811, 
  [*,69] P1 6.81444164258166, P2 11.6783652500012, P3 5.40803097458641, P4 5.83662666595305, 
  [*,70] P1 10.8411375537398, P2 6.69395601153305, P3 6.47950006514008, P4 5.72571238429045, 
  [*,71] P1 8.00271634174494, P2 8.23291243605321, P3 8.44518098970507, P4 6.2936500348597, 
  [*,72] P1 7.64598171604118, P2 8.58974381483303, P3 8.4851447706708, P4 5.61470864966439, 
  [*,73] P1 8.976211133948, P2 6.97616658066224, P3 6.50499692496963, P4 6.26082203687769, 
  [*,74] P1 7.67545980959515, P2 8.43455172019534, P3 8.1624050744887, P4 6.08501035636587, 
  [*,75] P1 9.5490061455904, P2 7.47137947807104, P3 8.50313955295442, P4 6.14292458027036, 
  [*,76] P1 7.40844975730181, P2 10.5192312877528, P3 6.24737718497763, P4 5.92164911801041, 
  [*,77] P1 6.12514670440937, P2 10.5365263065077, P3 5.32766586266017, P4 5.7171705661889, 
  [*,78] P1 11.0501062529228, P2 8.51323612448608, P3 6.93288753527888, P4 5.56998844311235, 
  [*,79] P1 10.3867478416226, P2 7.27360248438432, P3 11.0108715503004, P4 6.34051958053966, 
  [*,80] P1 9.10412509162647, P2 7.00536807321407, P3 6.61102893036733, P4 5.93131129136186, 
  [*,81] P1 11.2963890433194, P2 9.39717286571638, P3 6.39823264776095, P4 5.58871020405913, 
  [*,82] P1 10.6557243149986, P2 6.5233718027084, P3 7.37193026300313, P4 5.81486434409155, 
  [*,83] P1 5.00705695826966, P2 6.59191611245637, P3 8.64374512561019, P4 7.20130350893042, 
  [*,84] P1 6.62574033199657, P2 10.0384015765497, P3 6.11436062930388, P4 7.13015308769963, 
  [*,85] P1 11.0370146768651, P2 7.07219874477224, P3 6.65671905768915, P4 6.12977578193579, 
  [*,86] P1 7.29459157180829, P2 7.75340328184935, P3 8.28285669293682, P4 6.64508532573787, 
  [*,87] P1 5.76102519678585, P2 7.99358970595414, P3 7.33335187747109, P4 6.19214626558565, 
  [*,88] P1 7.65704322698611, P2 10.8658429345417, P3 7.1985309027298, P4 6.1817782233629, 
  [*,89] P1 5.99833763282597, P2 7.31557960584253, P3 8.46851935702396, P4 5.63864347074586, 
  [*,90] P1 8.67255122255306, P2 8.4999528502732, P3 6.83215862478747, P4 5.18733880041251, 
  [*,91] P1 9.13968559195124, P2 5.94146082628344, P3 8.59344123734039, P4 5.96888049939839, 
  [*,92] P1 9.05715166268035, P2 8.80116069166637, P3 6.52471874088342, P4 5.74423196886368, 
  [*,93] P1 6.88008496662142, P2 6.18965915923828, P3 9.44043047942042, P4 6.00786632634744, 
  [*,94] P1 9.40694648519661, P2 8.68302249827031, P3 9.39305020190882, P4 5.8687660185497, 
  [*,95] P1 5.11268845980133, P2 5.51888762140971, P3 9.49795607673958, P4 6.96239709751791, 
  [*,96] P1 11.1103464947025, P2 6.47055081781212, P3 9.56566857315291, P4 6.49057430072955, 
  [*,97] P1 7.96896494865225, P2 5.79537803910444, P3 8.78816338925614, P4 6.75804243832909, 
  [*,98] P1 9.79538068773007, P2 10.5759593659234, P3 6.82268940456633, P4 5.69255966508804, 
  [*,99] P1 8.31218767144966, P2 10.337951954881, P3 6.47096474899445, P4 6.49625779367492, 
  [*,100] P1 8.21076519111576, P2 5.80817771796679, P3 9.39509084272996, P4 7.3443865994684, 
  [*,101] P1 11.046457877267, P2 5.87046639536891, P3 8.20145850647812, P4 5.80309993232382, 
  [*,102] P1 11.8020640842634, P2 11.9985984293863, P3 5.77162705469756, P4 5.06700851080799, 
  [*,103] P1 9.10479185798232, P2 9.26609720924233, P3 6.3731647753801, P4 5.42644186707007, 
  [*,104] P1 9.27836171147079, P2 5.76326963289911, P3 9.91851743462975, P4 6.53254074340455, 
  [*,105] P1 9.71660369577958, P2 5.21000029338999, P3 6.16763646523941, P4 6.39630084640625, 
  [*,106] P1 5.34881887779078, P2 8.64902965512318, P3 6.11680970137309, P4 7.11850069518296, 
  [*,107] P1 10.2905937688667, P2 6.65140996119109, P3 8.25294997250578, P4 6.3831818005182, 
  [*,108] P1 11.3403253410577, P2 5.42679146222799, P3 6.608177472793, P4 6.15439578048334, 
  [*,109] P1 9.45577916099321, P2 7.77343172712066, P3 6.60289702591825, P4 5.69447804067508, 
  [*,110] P1 9.34115600532259, P2 7.97102817472304, P3 6.81058323308232, P4 5.64594942931573, 
  [*,111] P1 8.98702967738464, P2 6.68542931233724, P3 8.56996654465776, P4 6.50971789631946, 
  [*,112] P1 9.28369532693319, P2 7.43020598320449, P3 9.36483360114481, P4 5.67686586427158, 
  [*,113] P1 5.68749498891888, P2 8.81192747826751, P3 5.95229621011207, P4 6.19622229734171, 
  [*,114] P1 6.47951154823802, P2 10.3915290907204, P3 5.12040590640712, P4 6.24712904476726, 
  [*,115] P1 7.61736823693915, P2 7.31499116119639, P3 10.5592875913387, P4 6.60638804689547, 
  [*,116] P1 5.99929643675, P2 8.2869916988268, P3 8.0831188179255, P4 6.80987780791482, 
  [*,117] P1 10.9134673719288, P2 10.5846490737372, P3 6.90223947384481, P4 5.69718954471191, 
  [*,118] P1 7.96310539825133, P2 7.03769436620648, P3 7.84260226267307, P4 6.03321504354636, 
  [*,119] P1 7.72762304733886, P2 6.43660805502028, P3 8.40806715651529, P4 6.81957344139595, 
  [*,120] P1 10.9165570042922, P2 7.05772684474303, P3 8.94654044147648, P4 5.76035043876153, 
  [*,121] P1 7.15683706878816, P2 7.89755279958242, P3 8.14437668431693, P4 6.35889677604762, 
  [*,122] P1 7.71093212886651, P2 5.32869434927891, P3 10.3140020029157, P4 7.36996379339442, 
  [*,123] P1 11.0289449915689, P2 10.0207268113942, P3 6.78095316288575, P4 5.54680032569767, 
  [*,124] P1 8.0658078341423, P2 10.9220583295054, P3 6.38976191035852, P4 6.2676558135483, 
  [*,125] P1 5.59709573532512, P2 8.28559390028064, P3 8.14427293113326, P4 7.37528546460771, 
  [*,126] P1 11.4779972181189, P2 5.74389384021495, P3 8.64200705883571, P4 5.98905539707219, 
  [*,127] P1 6.49243815404018, P2 7.84090404862515, P3 7.87328586073645, P4 5.99845459946456, 
  [*,128] P1 11.8509500863013, P2 5.05085174724983, P3 10.3236614331346, P4 6.3950967145625, 
  [*,129] P1 6.30311006980051, P2 7.90973574036242, P3 7.95975667451287, P4 6.4336853159766, 
  [*,130] P1 10.9102358694989, P2 8.98066926548792, P3 7.22625497418916, P4 5.48828404429682, 
  [*,131] P1 9.41883619500527, P2 5.0177323212817, P3 9.51150187858076, P4 6.01768996352977, 
  [*,132] P1 7.31007287410499, P2 6.96532975250082, P3 9.7588852045599, P4 6.82733446544181, 
  [*,133] P1 5.21987186643033, P2 9.14311511479884, P3 7.29257819156094, P4 5.94896440264912, 
  [*,134] P1 11.5584570042876, P2 8.47179774518968, P3 6.13715244716562, P4 5.61171777147394, 
  [*,135] P1 8.96154311511686, P2 9.84561990436195, P3 6.1383030148439, P4 6.05920323595583, 
  [*,136] P1 6.98889456066732, P2 6.45344787288287, P3 8.43046684950702, P4 6.45405518784825, 
  [*,137] P1 6.35367550926001, P2 6.83546410656328, P3 8.64462672878587, P4 6.7990545750771, 
  [*,138] P1 8.16304750435893, P2 6.17059951073104, P3 7.94395676067418, P4 5.97371612543009, 
  [*,139] P1 5.62339463008588, P2 8.15500651097319, P3 7.17856225867422, P4 6.95645687545246, 
  [*,140] P1 7.77001737550354, P2 5.73485959503762, P3 8.15837706825184, P4 5.98041183220469, 
  [*,141] P1 8.21955576470156, P2 8.31898240296575, P3 6.69053999273814, P4 6.37238101015586, 
  [*,142] P1 7.52084864041455, P2 7.91271208402908, P3 10.4738532183766, P4 7.33726557344348, 
  [*,143] P1 8.04046402180911, P2 5.59409224327366, P3 9.77263425278728, P4 7.52724673580318, 
  [*,144] P1 6.33079581316179, P2 8.64460893071944, P3 6.2302764177399, P4 6.50550334049577, 
  [*,145] P1 6.26414483162332, P2 6.59888159841144, P3 8.10454981718638, P4 7.0984493078765, 
  [*,146] P1 11.2640944535603, P2 7.85616123136423, P3 7.78908682333225, P4 5.28785460794557, 
  [*,147] P1 6.70842044100035, P2 9.26884811909632, P3 7.67205385732499, P4 6.03193329256629, 
  [*,148] P1 11.2027606961588, P2 6.55388714551555, P3 7.45687989751527, P4 6.11828533062013, 
  [*,149] P1 11.2425966119082, P2 8.30190696134444, P3 6.60541394176288, P4 5.59486035704136, 
  [*,150] P1 8.38282426818418, P2 9.58784892424077, P3 6.41181848345821, P4 5.04428069905202, 
  [*,151] P1 7.96755023713998, P2 9.69970475030162, P3 5.97699237466883, P4 6.34047785730409, 
  [*,152] P1 11.827767718167, P2 5.02428940187363, P3 8.92426049080476, P4 5.55626992399946, 
  [*,153] P1 9.90940615249288, P2 10.291694079682, P3 5.94504975378477, P4 5.53672877921409, 
  [*,154] P1 6.86174140121042, P2 11.2257613052833, P3 5.66151485161161, P4 6.07028269004991, 
  [*,155] P1 6.60795969088735, P2 5.7752923323035, P3 8.60920502155311, P4 6.67293322068256, 
  [*,156] P1 9.74304800474395, P2 8.35519414826227, P3 8.75023828992186, P4 5.40545645753994, 
  [*,157] P1 5.7886954506827, P2 6.71230689520192, P3 8.28352889733796, P4 7.27578556132948, 
  [*,158] P1 11.0766849884134, P2 5.42326868235207, P3 8.1951477168881, P4 5.60847180462493, 
  [*,159] P1 7.75003101610367, P2 7.20802897022708, P3 9.34636540521952, P4 7.23099436748113, 
  [*,160] P1 9.49341423467525, P2 5.78082176152802, P3 6.16676992636908, P4 5.85241101958083, 
  [*,161] P1 8.25904197164434, P2 8.16547962404658, P3 7.05865770269261, P4 5.78110563180554, 
  [*,162] P1 7.73701953361828, P2 7.39731612915092, P3 8.4770775698836, P4 6.13057720846075, 
  [*,163] P1 8.7890818565166, P2 10.3072963057224, P3 6.96140029892955, P4 5.40418164945541, 
  [*,164] P1 9.18789842494318, P2 8.81641616289287, P3 8.37420035782995, P4 5.44296243227002, 
  [*,165] P1 6.28929043464344, P2 9.59240809843924, P3 6.86582231949325, P4 7.05337253612902, 
  [*,166] P1 10.5498157170355, P2 11.7300481974243, P3 5.95854403671014, P4 5.74877968471201, 
  [*,167] P1 7.08253889280608, P2 7.01496403982829, P3 6.18979109723557, P4 5.57211303247606, 
  [*,168] P1 6.8242749994888, P2 5.27297357523819, P3 8.52060106493838, P4 6.39620694978508, 
  [*,169] P1 8.43585318873205, P2 9.70457268941637, P3 10.5750524262802, P4 5.75093682539044, 
  [*,170] P1 5.51501081988989, P2 7.1197624419902, P3 8.43596109185373, P4 7.8134632925756, 
  [*,171] P1 6.36024315952719, P2 10.8012484503285, P3 5.75488431545404, P4 5.76308423203224, 
  [*,172] P1 10.3942205832399, P2 11.42085862213, P3 6.03257840760125, P4 5.39747991428178, 
  [*,173] P1 8.49097300065546, P2 6.5390009344881, P3 10.0560356692459, P4 6.21539363736221, 
  [*,174] P1 10.0526846275268, P2 9.11958445255919, P3 6.26883958668447, P4 5.27694552705068, 
  [*,175] P1 6.19028060780153, P2 6.7812749360829, P3 6.78611758616262, P4 7.13137716337173, 
  [*,176] P1 5.36687423285423, P2 7.97080938879237, P3 6.35337691411602, P4 6.91012621405976, 
  [*,177] P1 6.23884344310734, P2 8.616092479639, P3 8.32575274575123, P4 6.10320847797682, 
  [*,178] P1 10.1458706728735, P2 5.60980101064125, P3 9.28467752824274, P4 6.41597193616865, 
  [*,179] P1 6.28472745647072, P2 6.32285195486218, P3 8.38621857260815, P4 6.53870706888058, 
  [*,180] P1 7.08354341589354, P2 9.35693108474877, P3 7.57915159986398, P4 6.68295302896923, 
  [*,181] P1 5.89591055623855, P2 11.4370537149831, P3 5.83941202902056, P4 6.53739251099423, 
  [*,182] P1 5.89180600133836, P2 10.0769632149687, P3 6.77546320460105, P4 6.15148795214062, 
  [*,183] P1 8.66121783962427, P2 7.32935714572388, P3 6.72840650780525, P4 6.07391279484003, 
  [*,184] P1 5.96594493350701, P2 5.08250905295073, P3 8.66355780269145, P4 7.68992458380958, 
  [*,185] P1 6.10040108145847, P2 8.50045400277108, P3 6.17892754549694, P4 5.69899439427143, 
  [*,186] P1 10.1112060477677, P2 11.6194165219035, P3 6.35811200786591, P4 5.2324591976042, 
  [*,187] P1 8.23685768610678, P2 8.94307104641763, P3 7.23303756063048, P4 6.50963576533576, 
  [*,188] P1 9.9863512764313, P2 6.74036665785379, P3 6.6904985986504, P4 6.19884523576205, 
  [*,189] P1 10.1297033735426, P2 7.93694138078668, P3 6.70626846987212, P4 5.47928917131809, 
  [*,190] P1 10.0902853333139, P2 11.8042146751944, P3 6.55047178161825, P4 5.7699874235109, 
  [*,191] P1 10.126627946571, P2 6.58791274509283, P3 6.64041062428332, P4 6.5626294884905, 
  [*,192] P1 9.99848283691792, P2 8.74815555506785, P3 8.09799382810029, P4 5.71605107357873, 
  [*,193] P1 7.84807406867231, P2 5.1392516231252, P3 6.24969506552814, P4 5.70371121613657, 
  [*,194] P1 11.9685333621558, P2 6.65423568308703, P3 8.22059797041985, P4 5.43127898510846, 
  [*,195] P1 10.2993186794687, P2 10.1913119646246, P3 5.41841214334823, P4 5.91321327625542, 
  [*,196] P1 5.25325492854185, P2 9.81679407419121, P3 7.27046583998965, P4 6.43624323071665, 
  [*,197] P1 11.5628275386957, P2 8.07366070156733, P3 6.58849927782832, P4 5.19892975169355, 
  [*,198] P1 8.22183155683189, P2 6.20891950764777, P3 7.18047118924822, P4 6.69041341145375, 
  [*,199] P1 5.88887217195862, P2 11.2441091512803, P3 6.51486435907391, P4 6.87835235633884, 
  [*,200] P1 7.50240772762004, P2 9.47134836594392, P3 8.19219584167556, P4 6.76458472849735, 
  [*,201] P1 10.1944094739642, P2 11.999118741757, P3 5.2097385302406, P4 5.66167563955179, 
  [*,202] P1 7.79357485720767, P2 6.98994989298557, P3 5.94240226717243, P4 5.86491622252212, 
  [*,203] P1 9.10216315063108, P2 10.5480110925739, P3 6.16866364835899, P4 5.78915917896528, 
  [*,204] P1 8.56628970862169, P2 7.52723361733273, P3 6.55814653440874, P4 5.42618461229757, 
  [*,205] P1 10.4005502200577, P2 8.00482202638355, P3 7.86435682608789, P4 5.62175304486777, 
  [*,206] P1 9.7564409820746, P2 6.73859562830195, P3 7.78389856366106, P4 6.37567482903295, 
  [*,207] P1 10.0622758492201, P2 7.62806654915128, P3 6.4989048469452, P4 5.42240015460238, 
  [*,208] P1 11.6618269329004, P2 6.5089164777549, P3 5.81754976942454, P4 5.54900488273111, 
  [*,209] P1 9.0250126676624, P2 6.88416689969295, P3 7.51057332873351, P4 5.79292568707531, 
  [*,210] P1 11.693870540582, P2 8.20899060678505, P3 7.03282871552076, P4 5.51409611615533, 
  [*,211] P1 11.9814386112233, P2 5.92085399539535, P3 7.2321803611117, P4 5.59365035385058, 
  [*,212] P1 7.0719104104145, P2 7.58853055315465, P3 6.75877440810543, P4 6.34993068216749, 
  [*,213] P1 9.01626010822672, P2 7.79521468309705, P3 5.16807450343741, P4 5.78916215365503, 
  [*,214] P1 5.79991721969574, P2 9.12613823329585, P3 7.16905444172469, P4 6.34195223723444, 
  [*,215] P1 5.86886739634532, P2 9.74675396827967, P3 5.99126900159804, P4 5.81675198609575, 
  [*,216] P1 10.1591191366581, P2 9.19972052326354, P3 5.40986782275844, P4 6.01700031330298, 
  [*,217] P1 6.38931653175218, P2 11.8921366852136, P3 7.79983977964869, P4 5.95782930780323, 
  [*,218] P1 6.48828742716955, P2 10.9852687432321, P3 8.46339728256067, P4 6.1262554723697, 
  [*,219] P1 6.45046579163297, P2 7.08031980812432, P3 8.94778176890249, P4 6.8564264577223, 
  [*,220] P1 8.97991206049338, P2 6.12142389512679, P3 5.72247020868844, P4 6.64197618146636, 
  [*,221] P1 8.13830170298182, P2 9.43014373463638, P3 7.18171337006678, P4 6.35413818895907, 
  [*,222] P1 11.3978738236824, P2 7.87971361446509, P3 7.62520024230555, P4 5.2880262703065, 
  [*,223] P1 7.18437835969728, P2 9.74745725577322, P3 7.78505188772589, P4 6.25906832884633, 
  [*,224] P1 8.4768558569782, P2 11.2754229347526, P3 6.19041551848606, P4 6.12307503575914, 
  [*,225] P1 7.42195043862099, P2 9.33635837166645, P3 6.77888368906344, P4 6.33804878222918, 
  [*,226] P1 8.27800781459816, P2 10.5463244333226, P3 5.63035351048483, P4 6.01927155926667, 
  [*,227] P1 5.1369203991072, P2 6.02729213660254, P3 5.86892077740095, P4 6.7715565271484, 
  [*,228] P1 10.5935693432512, P2 8.19378196354927, P3 5.554440660605, P4 5.21294956020776, 
  [*,229] P1 11.5464407462749, P2 6.4511391492471, P3 8.67792913955086, P4 5.11103423178265, 
  [*,230] P1 6.75222251544197, P2 10.1810418067828, P3 7.68411443350576, P4 6.82199184993634, 
  [*,231] P1 8.32108231896997, P2 8.4432442243747, P3 5.85988878931171, P4 6.73218558706819, 
  [*,232] P1 5.54156691208211, P2 8.50710058858874, P3 5.54882021869479, P4 6.41558224927168, 
  [*,233] P1 10.4143767754807, P2 6.32428489647974, P3 7.91249258486014, P4 5.73486336265703, 
  [*,234] P1 8.43125833665784, P2 8.73754200721384, P3 7.02445500982516, P4 6.10470276332738, 
  [*,235] P1 11.1410110249752, P2 6.96374589260945, P3 7.97896108734886, P4 5.7481026039342, 
  [*,236] P1 6.18732676482157, P2 11.3878365226808, P3 6.38310433733918, P4 6.12099741181783, 
  [*,237] P1 7.4669539896126, P2 6.42381289115248, P3 9.43422587293203, P4 6.83022343075305, 
  [*,238] P1 5.62035737148493, P2 9.38560870587795, P3 6.61763034278624, P4 6.90960300624752, 
  [*,239] P1 5.68060164002601, P2 7.5739284309735, P3 8.87243907398101, P4 6.45448299235172, 
  [*,240] P1 10.8428326605505, P2 5.19410400306696, P3 7.96181444958475, P4 6.04763847855149, 
  [*,241] P1 7.36772899492689, P2 10.3041682494613, P3 5.8999856783307, P4 6.32446517793134, 
  [*,242] P1 6.51847365234972, P2 9.2356406535907, P3 7.7560463138166, P4 5.95290327398874, 
  [*,243] P1 9.443209261135, P2 5.48111948658761, P3 6.9109340258196, P4 6.28709799974546, 
  [*,244] P1 9.84280306662837, P2 7.83613489575055, P3 8.46989337918811, P4 6.11097536731674, 
  [*,245] P1 8.11250842727599, P2 9.40621185672149, P3 6.93922201400487, P4 5.87160830056663, 
  [*,246] P1 10.9996557371815, P2 5.56319127232848, P3 8.27532455098593, P4 5.93214670389186, 
  [*,247] P1 11.1489483076201, P2 6.1501643023398, P3 8.78155813274932, P4 6.01453654563586, 
  [*,248] P1 6.24149438731262, P2 9.22617181727534, P3 6.00230347968914, P4 6.21039614815825, 
  [*,249] P1 7.46784682605476, P2 10.2462867325788, P3 6.61738755859178, P4 6.28701440560676, 
  [*,250] P1 8.61114407929234, P2 5.88885887494186, P3 9.55121010998931, P4 6.5879601260439, 
  [*,251] P1 11.1333772678183, P2 9.61491031194011, P3 6.56778596670952, P4 5.73590882416445, 
  [*,252] P1 5.02371107508466, P2 9.84709071316305, P3 6.03184260331634, P4 6.52558646115187, 
  [*,253] P1 11.5640302515648, P2 8.34468673342202, P3 6.36819596578692, P4 5.22172333361395, 
  [*,254] P1 7.38130450979572, P2 9.66075214366536, P3 6.32909102121131, P4 6.66316803700029, 
  [*,255] P1 7.58216175446091, P2 6.6699011937464, P3 6.38686230336742, P4 6.60752494804992, 
  [*,256] P1 8.93340816575438, P2 6.40174884178136, P3 8.70152560450987, P4 6.55941839300119, 
  [*,257] P1 8.65213861216119, P2 10.3224726580861, P3 6.24056825299473, P4 5.4442563155535, 
  [*,258] P1 7.50148678188723, P2 10.8328122897797, P3 5.57571882647847, P4 5.91999066009887, 
  [*,259] P1 6.35776439618613, P2 7.47631481513355, P3 6.51957569491617, P4 6.9923324174257, 
  [*,260] P1 8.22330144625452, P2 9.55807788770589, P3 5.75969182907956, P4 5.31589936424794, 
  [*,261] P1 6.9213810611418, P2 7.2056572242805, P3 7.55983457107912, P4 6.44260051576939, 
  [*,262] P1 10.4077604009986, P2 8.07613448555167, P3 5.7583119365233, P4 6.02013630016674, 
  [*,263] P1 11.6414843492321, P2 5.79024529403479, P3 11.6455901923033, P4 6.39178027677392, 
  [*,264] P1 8.38483214176884, P2 8.56348783929801, P3 8.59650119467857, P4 5.83289178309246, 
  [*,265] P1 6.40136687188914, P2 8.99070644124246, P3 10.4135307283984, P4 6.81349460237549, 
  [*,266] P1 9.76181636492283, P2 7.50904707749509, P3 5.72514657397019, P4 6.11081605844892, 
  [*,267] P1 7.35315567110327, P2 10.0079991390214, P3 5.98845112620524, P4 5.21822010318511, 
  [*,268] P1 7.51684549573948, P2 8.37652558022953, P3 6.58765322896225, P4 6.5935981436694, 
